(carboplatin)||carboplatin
ciproflaxin||benzyl alcohol
mixed amphetamine salts||amphetamine
abacavir succinate||abacavir
glatiramer acetate||acetate
abacavir sulphate||abacavir
glatiramer acetate injection||acetate
gleevec (imatinib)||imatinib
ribapak (ribavirin)||ribavirin
abilify (aripiprazole)||aripiprazole
gleevec (imatinib) unknown||imatinib
ribasphere (ribavirin)||ribavirin
abilify discmelt||aripiprazole
abilify tabs||aripiprazole
ciprofloxacn||benzyl alcohol
abilify tabs 10 mg||aripiprazole
ciprofloxin||benzyl alcohol
ribavirin (ribavirin)||ribavirin
abilify tabs 15 mg||aripiprazole
modafinil (modafinil)||modafinil
ciprolex||benzyl alcohol
abilify tabs 2 mg||aripiprazole
modafinil tablets usp||modafinil
ciproxan||benzyl alcohol
ribavirin (ribavirin) capsule||ribavirin
abilify tabs 5 mg||aripiprazole
ciproxin||benzyl alcohol
abiraterone 250mg apotex||abiraterone
ribavirin (warrick)||ribavirin
ciproxin 500 mg||benzyl alcohol
abiraterone 250mg tab||abiraterone
ciproxin 500 mg film-coated tablets||benzyl alcohol
ribavirin 200 mg||ribavirin
ciproxine||benzyl alcohol
cis-platinum||platinum
ribavirin 200 mg tablets||ribavirin
cisatracurium besilate||cisatracurium
gliclazide (gliclazide)||gliclazide
moduretic||amiloride
cisatracurium mylan||cisatracurium
ribavirin 200mg||ribavirin
moduretic 5-50||amiloride
gliclazide mr||gliclazide
moduretic 5?50||amiloride
ribavirin cap 200mg||ribavirin
cisplatin (119875)||cisplatin
ribavirin capsule||ribavirin
cisplatin (cisplatin)||cisplatin
ribavirin film coated tablets||ribavirin
cisplatin (cisplatin) (cisplatin)||cisplatin
cisplatin (cisplatin) (hq specialty)||cisplatin
ribavirin tab 200mg||ribavirin
cisplatin (manufacturer unknown)||cisplatin
cisplatin (manufacturer unknown) (cisplatin) (cisplatin)||cisplatin
cisplatin (unknown)||cisplatin
cisplatin accord||cisplatin
cisplatin for inj||cisplatin
glimepiride (glimepiride)||glimepiride
cisplatin mylan||cisplatin
cisplatin teva||cisplatin
cisplatine||cisplatin
cisplatine accord||cisplatin
cisplatine mylan||cisplatin
cisplatine teva||cisplatin
acebutolol hcl||acebutolol
cisplatinum||cisplatin
rifadine||rifampicin
citalopram (citalopram)||citalopram
rifampicin (unknown)||rifampicin
citalopram (unknown)||citalopram
rifampicin capsules||rifampicin
citalopram film-coated tablet||citalopram
citalopram hbr||citalopram
aceon (perindopril erbumine) tablet||perindopril
monoammonium glycyrrhizinate||glycyrrhizic acid
citalopram hcl||citalopram
citalopram hydrobromide (unknown)||citalopram
rifampin (manufacturer unknown)||rifampicin
glipizide (glipizide)||glipizide
citalopram hydrobromide (watson laboratories)||citalopram
citalopram hydrobromide - bp||citalopram
acetaminophen (acetaminophen)||acetaminophen
citalopram hydrobromide ? bp||citalopram
acetaminophen (paracetamol)||acetaminophen
citalopram hydrobromide unk||citalopram
acetaminophen (unknown)||acetaminophen
citalopram hydrochloride||citalopram
acetaminophen 650mg er 544||acetaminophen
citalopram mylan||citalopram
citicoline sodium||citicoline
rilpivirine hydrochloride||rilpivirine
glucagon emergency kit||water
citracal [calcium citrate]||calcium
montelukast sod||montelukast
citracal maximum||chloroxylenol
mopral (omeprazole)||omeprazole
mopral [omeprazole]||omeprazole
rinderon (betamethasone)||betamethasone
morphine (manufacturer unknown)||morphine
glucophage (metformin hydrochloride)||metformin
morphine (morphine)||morphine
rinderon [betamethasone]||betamethasone
clamoxyl (amoxicillin)||clavulanic acid
morphine (morphine) (unknown) (morphine)||morphine
morphine (unknown)||morphine
glucosamin||dextrose, unspecified form
morphine er||morphine
clarinex-d||desloratadine
morphine hcl||morphine
glucosamin chondroitin||dextrose, unspecified form
acetyl l carnitine||levocarnitine
acetyl l-carnitine||levocarnitine
morphine hydrochloride||morphine
clarithromycin (clarithromycin)||clarithromycin
acetyl salicylic acid||benzethonium
morphine hydrochloride hydrate||morphine
clarithromycin (unknown)||clarithromycin
morphine hydrochloride trihydrate||morphine
morphine intrathecal||morphine
clarithromycin 500mg||clarithromycin
ringers lactate||sodium chloride
morphine ir||morphine
clarithromycin film-coated tablet||clarithromycin
acetylsalicylic acid (> 100 mg)||acetylsalicylic acid
clarithromycin mylan||clarithromycin
morphine salt not specified||morphine
acetylsalicylic acid (acetylsalicylic acid)||acetylsalicylic acid
claritin (loratadine)||loratadine
acetylsalicylic acid (cardio)||acetylsalicylic acid
morphine sul||morphine
riociguat (guanylate cyclase stimulator)||riociguat
acetylsalicylic acid (unknown)||acetylsalicylic acid
claritin (united states)||loratadine
acetylsalicylic acid (} 100 mg)||acetylsalicylic acid
morphine sulf||morphine
acetylsalicylic acid enteric coated||acetylsalicylic acid
morphine sulfate (aellc)||morphine
claritin allergic||loratadine
acetylsalicylic acid(<=100 mg)||acetylsalicylic acid
acetylsalicylic acid({=100 mg)||acetylsalicylic acid
claritin d||loratadine
morphine sulfate (morphine sulfate)||morphine
claritin liqui?gels||loratadine
acetylsalicylic acid(}100 mg)||acetylsalicylic acid
claritin liquigels||loratadine
morphine sulfate (morphine sulfate) injection||morphine
risedronate sodium - bp||risedronic acid
claritin reditabs 12hr||loratadine
morphine sulfate (morphine sulfate) unknown||morphine
risedronate sodium ? bp||risedronic acid
morphine sulfate (similar to nda 19-516)||morphine
claritin-d||loratadine
risedronate sodium unk||risedronic acid
claritin-d nos||loratadine
morphine sulfate (similar to nda 19?516)||morphine
claritin-d-12||loratadine
morphine sulfate (unknown)||morphine
morphine sulfate cr||morphine
risperdal (risperidone)||risperidone
claritin-d-24||loratadine
glucose 5%||dextrose, unspecified form
claritin?d 24 hour||loratadine
glucose injection||dextrose, unspecified form
claritin?d nos||loratadine
glucotrol (glipizide)||glipizide
morphine sulfate ir||morphine
claritine||loratadine
risperidone (risperidone)||risperidone
morphine sulfate unk||morphine
risperidone (unknown)||risperidone
risperidone film-coated tablets||risperidone
morphine sulphate||morphine
aciclovir (aciclovir)||acyclovir
glutathione reduced||glutathione
risperidone mylan||risperidone
aciclovir mylan||acyclovir
mosapride citrate||mosapride
aciclovir sodium||acyclovir
glyburide (glibenclamide)||glyburide
cleanal||benzethonium
mosapride citrate hydrate||mosapride
clemizole penicillin||clemizole
ritalina||methylphenidate
ritaline||methylphenidate
glycerol\paraffin||glycerin
ritaline lp||methylphenidate
glyceryl trinitrate (glyceryl trinitrate)||nitroglycerin
ritodrine hydrochloride||ritodrine
motrin (ibuprofen)||ibuprofen
glycopyrrolate [glycopyrronium bromide]||glycopyrronium
ritonavir (ritonavir)||ritonavir
clexane (enoxaparin sodium)||enoxaparin
glycopyrrolate [glycopyrronium]||glycopyrronium
glycopyrronium bromide||glycopyrronium
clindamycin (clindamycin)||clindamycin
clindamycin hcl||clindamycin
clobazam (clobazam)||clobazam
rivaroxaban (rivaroxaban 20mg tab)||rivaroxaban
acidum folicum streuli||folic acid
moxifloxacin (manufacturer unknown)||moxifloxacin
moxifloxacin hcl||moxifloxacin
rivotril (clonazepam)||clonazepam
moxifloxacin iv||moxifloxacin
clodronate disodium||clodronic acid
moxifloxacin oral||moxifloxacin
aciphex (rabeprazole sodium)||rabeprazole
moxifloxacine||moxifloxacin
goodsense aspirin||acetylsalicylic acid
clomifene citrate||clomifene
aciphex (rabeprazole)||rabeprazole
clonazepam (aellc)||clonazepam
aclidinium bromide||aclidinium
clonazepam (clonazepam)||clonazepam
gosereline||goserelin
clonazepam (clonazepam) (clonazepam)||clonazepam
robaxin (methocarbamol)||methocarbamol
clonazepam (unknown)||clonazepam
robaxin-750||methocarbamol
clonazepam 0.5mg||clonazepam
clonazepam 1mg||clonazepam
robitussin (guaifenesin)||guaifenesin
clonazepam accord||clonazepam
clonazepam actavis||clonazepam
actavis clonazepam||clonazepam
clonazepam tablets usp||clonazepam
granisetron hcl||granisetron
rocephine||ceftriaxone
clonazepam teva||clonazepam
clonidine (clonidine)||clonidine
clonidine hcl||clonidine
rolapitant hydrochloride||rolapitant
clonidine hcl er||clonidine
mst [morphine sulfate]||morphine
ropinirole er||ropinirole
ropinirole hcl||ropinirole
clopidogrel (clopidogrel)||clopidogrel
clopidogrel (unknown)||clopidogrel
mtx [methotrexate]||methotrexate
clopidogrel besilate||clopidogrel
clopidogrel besylate||clopidogrel
ropivacaine (manufacturer unknown)||ropivacaine
clopidogrel bisulfate 75 mg||clopidogrel
clopidogrel bisulphate||clopidogrel
mucinex (guaifenesin)||guaifenesin
rosuvastatin (rosuvastatin)||rosuvastatin
clopidogrel film coated tablets||clopidogrel
clopidogrel hydrochloride||clopidogrel
green tea extract||allantoin
activase||triclosan
grisetin (flutamide)||flutamide
mucinex er||guaifenesin
actonel (risedronate sodium)||risedronic acid
rosuvastatin film-coated tablet||rosuvastatin
rosuvastatin tablet||rosuvastatin
clopidogrel sulfate||clopidogrel
rosuvastatin teva||rosuvastatin
actos (pioglitazone hydrochloride)||pioglitazone
rosuvastatine||rosuvastatin
clopidogrel tablets usp||clopidogrel
rosuvastatine [rosuvastatin]||rosuvastatin
guaifenesin 600 mg 498||guaifenesin
mucosal||guaifenesin
clorotrimeton||chlorine
guanfacine er||guanfacine
guanfacine hcl||guanfacine
clotrimazole vaginal cream usp 1% 7 day||clotrimazole
rozex (metronidazole)||metronidazole
clotrimazole vaginal cream usp 2% 3 day||clotrimazole
cloxacillin sodium||cloxacillin
clozapin hexal||clozapine
mucosta (rebamipide)||rebamipide
clozapine (clozapine)||clozapine
acyclovir (aciclovir)||acyclovir
clozapine (unknown)||clozapine
clozapine accord||clozapine
acyclovir (aciclovir) (aciclovir)||acyclovir
clozapine mylan||clozapine
rupatadine fumarate||rupatadine
multi complete||chlorpheniramine
acyclovir (aciclovir) (tablets)||acyclovir
clozapine odt||clozapine
clozapine tablet||clozapine
acyclovir (aciclovir) (unknown)||acyclovir
clozapine teva||clozapine
clozaril (clozapine)||clozapine
acyclovir (acyclovir)||acyclovir
haldol decanoas||haloperidol
acyclovir (unknown)||acyclovir
co aprovel||irbesartan
sabril     (tablet)||vigabatrin
acyclovir [aciclovir sodium]||acyclovir
co atenolol||atenolol
halobetasol prop||ulobetasol
sabril (tablet)||vigabatrin
acyclovir [aciclovir]||acyclovir
haloperidol (haloperidol) (haloperidol)||haloperidol
co diovan||valsartan
haloperidol (unknown)||haloperidol
acyclovir abbott vial||acyclovir
haloperidol injection (manufacturer unknown)||haloperidol
acyclovir sodium (manufacturer unknown)||acyclovir
co-amoxicillin||clavulanic acid
hartmann's solution||minoxidil
adalat cr||nifedipine
co-aprovel||irbesartan
adalat crono||nifedipine
adalat l||nifedipine
salbutamol (salbutamol)||salbutamol
salbutamol (unknown)||salbutamol
salbutamol sulfate||salbutamol
adalat xl||nifedipine
hctz (hydrochlorothiazide)||hydrochlorothiazide
salbutamol sulphate||salbutamol
adalat-cr||nifedipine
salbutamol teva||salbutamol
adalate||nifedipine
co-diovan||valsartan
multivitamin (16)||cholecalciferol
helixate fs||levomenthol
saline [sodium chloride]||sodium chloride
multivitamin (multivitamins)||cholecalciferol
helixate nexgen||levomenthol
multivitamin (vitamins nos)||cholecalciferol
saline oral otc||sodium chloride
salmeterol xinafoate||salmeterol
multivitamin [vitamins nos]||cholecalciferol
multivitamin adult||cholecalciferol
co?diovan||valsartan
salofalk [mesalazine]||mesalazine
adcirca (tadalafil)||tadalafil
multivitamin adults||cholecalciferol
salofalk gr||mesalazine
adcirca (tadalafil) (unknown)||tadalafil
multivitamin daily||cholecalciferol
adco-simvastatin||simvastatin
cocaine (cocaine)||cocaine
multivitamin for women||cholecalciferol
adderall tablets||amphetamine
samsca (tolvaptan) tablet||tolvaptan
samsca 30 mg||tolvaptan
multivitamins (multivitamins)||cholecalciferol
heparin (heparin)||heparin
multivitamins (multivitamins) (tablets)||cholecalciferol
adenuric (febuxostat)||febuxostat
heparin (manufacturer unknown)||heparin
codeine (codeine)||codeine
codeine (unknown)||codeine
multivitamins (multivitamins) (unknown)||cholecalciferol
codeine contin||codeine
heparin flush||heparin
codeine hydrochloride||codeine
codeine linctus||codeine
heparin lmw||heparin
heparin na lock||heparin
multivitamins [vitamins nos]||cholecalciferol
heparin sodium (manufacturer unknown)||heparin
multivitamins;minerals||cholecalciferol
heparin sodium porcine||heparin
sarpogrelate hydrochloride||sarpogrelate
multivitaminum||cholecalciferol
heparin-ratiopharm||heparin
heparine choay||heparin
saxagliptin hydrochloride||saxagliptin
heparine sodique||heparin
colace (docusate sodium)||docusate
mupirocin ointment||mupirocin
adrenaline [epinephrine]||epinephrine
colchicine (colchicine)||colchicine
heparinoid||heparin
mupirocin ointment usp 2%||mupirocin
colchicine opocalcium||colchicine
adriamycin [doxorubicin]||doxorubicin
colecalciferol (vitamin d)||cholecalciferol
colestipol hcl||colestipol
colgate duraphat||sodium fluoride
adult aspirin||acetylsalicylic acid
scopolamine [hyoscine]||scopolamine
adult multivitamin||cholecalciferol
muscle relaxer||levomenthol
scopolamine butylbromide||scopolamine
scopolamine hbr||scopolamine
colistimethate (manufacturer unknown)||colistimethate
colistimethate [colistimethate sodium]||colistimethate
scopolamine transdermal system||scopolamine
herbal extract nos||levomenthol
colistin sulfate||colistin
sea water||water
herbal nos||levomenthol
herbal preparation||levomenthol
herbal supplements||levomenthol
advil (ibuprofen)||ibuprofen
advil 12hour||ibuprofen
combigan[r]||timolol
advil [ibuprofen]||ibuprofen
advil cold||ibuprofen
advil liqui?gels||ibuprofen
advilmed enfants et nourrissons||ibuprofen
combivent mdi||ipratropium
aerius (canada)||desloratadine
heroin (diamorphine) (diamorphine)||diamorphine
aerius (desloratadine)||desloratadine
cometriq (cabozantinib) capsule||cabozantinib
comparator bendamustine||bendamustine
mvw complete formulation d3000||chlorpheniramine
comparator carboplatin||carboplatin
selective serotonin reuptake inhibitors||serotonin
selegiline hcl||selegiline
comparator cytarabine||cytarabine
comparator daunorubicin||daunorubicin
afinitor (rad)||everolimus
selenica r||selenium
mycelex troche||clotrimazole
comparator docetaxel||docetaxel
selenica-r||selenium
afinitor (rad) unknown||everolimus
myco[phenolate||phenol
comparator enalapril||enalapril
comparator fulvestrant||fulvestrant
comparator letrozole||letrozole
comparator paclitaxel||paclitaxel
mycophenolate 250mg||mycophenolic acid
comparator pemetrexed||pemetrexed
mycophenolate 500mg||mycophenolic acid
afrin [oxymetazoline]||oxymetazoline
compazine (prochlorperazine edisylate)||prochlorperazine
afrin spray||oxymetazoline
mycophenolate mof cap 250mg||mycophenolic acid
compazine (prochlorperazine maleate)||prochlorperazine
compazine [prochlorperazine edisylate]||prochlorperazine
mycophenolate mof tab||mycophenolic acid
mycophenolate mof tab 500mg||mycophenolic acid
complete multi vit||chlorpheniramine
senna leaf||sennosides
sennalax||sennosides
compounded baclofen||baclofen
sennapur||sennosides
compounded baclofen intrathecal||baclofen
sennaride||sennosides
compounded testosterone pellet||testosterone
hidroclorotiazida (1343a)||hydrochlorothiazide
airomir [salbutamol sulfate]||salbutamol
sennoside a||sennosides
airomir [salbutamol]||salbutamol
senokot?s||sennosides
mycophenolate sodium||mycophenolic acid
hidroxicloroquina (2143a)||hydroxychloroquine
hidroxicloroquina sulfato||hydroxychloroquine
albumin tannate||phenylephrine
serenase (haloperidol)||haloperidol
mycostatine||nystatin
high cholesterol medication||cholesterol
control plp||chloroxylenol
controloc||chloroxylenol
albuterol (salbutamol sulfate)||salbutamol
albuterol (salbutamol)||salbutamol
albuterol [salbutamol sulfate]||salbutamol
copaxone (glatiramer acetate)||acetate
albuterol [salbutamol]||salbutamol
albuterol aer||salbutamol
albuterol aer hfa||salbutamol
mylan fentanyl transdermal system||fentanyl
albuterol inhalation powder||salbutamol
copper iud||cupric chloride
seropram (citalopram hydrobromide)||citalopram
albuterol inhalational powder||salbutamol
coppertone||cupric chloride
seroquel (quetiapine fumarate)||quetiapine
albuterol inhaler||salbutamol
mylan furosemide 40||furosemide
coppertone kids continuous spray spf-50||cupric chloride
serostim [(somatropin (rdna origin) for injection)]||water
albuterol mdi||salbutamol
albuterol neb||salbutamol
coppertone sensitive skin lotion spf-50||cupric chloride
mylan pantoprazole||pantoprazole
albuterol nebulizer||salbutamol
albuterol sulfate (salbutamol sulfate)||salbutamol
sertralin [sertraline]||sertraline
albuterol sulfate inhalation powder||salbutamol
albuterol sulfate nebulizer||salbutamol
albuterol sulphate||salbutamol
sertraline (sertraline)||sertraline
sertraline (sertraline) (sertraline)||sertraline
sertraline (unknown)||sertraline
sertraline 50mg||sertraline
alcohol (ethanol)||isopropyl alcohol
sertraline accord||sertraline
coq10 (ubidecarenone)||ubidecarenone
coq10 [ubidecarenone]||ubidecarenone
coralan||sodium fluoride
myorisan 40 mg||isotretinoin
aldactone (spironolactone)||spironolactone
aldactone (united states)||spironolactone
aldactone a||spironolactone
sevelamer salt not specified||sevelamer
cordarone x||amiodarone
aldactone tablets||spironolactone
coreg (carvedilol)||carvedilol
aldactone-a||spironolactone
sevoflurane baxter||sevoflurane
coricidin hbp flu||chlorpheniramine
myser (difluprednate)||difluprednate
horse chestnut||levomenthol
myser [difluprednate]||difluprednate
horse chestnut extract||levomenthol
shark cartilage||sodium fluoride
n acetyl cysteine||cysteine
shark liver oil||sodium fluoride
n-acetyl cysteine||cysteine
n?acetylcysteine||acetylcysteine
correctol nos||bisacodyl
alendronate (alendronate sodium)||alendronic acid
nab-paclitaxel||paclitaxel
alendronate sodium (watson laboratories)||alendronic acid
nab?paclitaxel||paclitaxel
alendronate sodium ir||alendronic acid
shower to shower talcum powder||talc
alendronate sodium tablets||alendronic acid
shower to shower talcum product||talc
alendronate sodium tablets usp||alendronic acid
alendronate sodium tablets usp 70mg||alendronic acid
alendronate sodium- (unknown)||alendronic acid
sildenafil (sildenafil)||sildenafil
alendronic acid (alendronic acid)||alendronic acid
sildenafil (unknown)||sildenafil
alendronic acid (unknown)||alendronic acid
sildenafil 20 mg||sildenafil
alendronic acid 70||alendronic acid
nafamostat mesilate||nafamostat
sildenafil 20mg||sildenafil
naftidrofuryl oxalate||naftidrofuryl
alendronic acid tablets||alendronic acid
sildenafil 20mg tab||sildenafil
sildenafil tab 20 mg||sildenafil
naixan [naproxen]||naproxen
sildenafil tab 20mg||sildenafil
naloxegol oxalate||naloxegol
namenda (memantine hydrochloride)||memantine
silodosin - bp||silodosin
silodosine||silodosin
cortiment [budesonide]||budesonide
aleve (naproxen sodium)||naproxen
naprosyn e||naproxen
naprosyne||naproxen
aleve caplet||naproxen
aleve gelcap||naproxen
naproxen (naproxen)||naproxen
cortiment mmx||budesonide
aleve liquid gels 220 mg||naproxen
naproxen (unknown)||naproxen
simcora||niacin
aleve liquid gels 220mg||naproxen
naproxen 500mg||naproxen
cortisolu||hydrocortisone
naproxen dr||naproxen
aleve tablet||naproxen
naproxen sod||naproxen
naproxen sodium ({= 220 mg)||naproxen
naproxen sodium 220 mg||naproxen
naproxen sodium 220 mg 368||naproxen
naproxen tablet||naproxen
alfuzosin hcl||alfuzosin
naproxene||naproxen
alfuzosin hcl er||alfuzosin
alginac||alginic acid
naratriptan hcl||naratriptan
simvastatin (simvastatin)||simvastatin
simvastatin (simvastatin) (simvastatin)||simvastatin
simvastatin (unknown)||simvastatin
simvastatin (zocor)||simvastatin
simvastatin 20 mg||simvastatin
nasal spray||phenylephrine
alimemazine tartrate||alimemazine
simvastatin 20mg||simvastatin
nasal spray ii||phenylephrine
simvastatin 40 mg||simvastatin
human insulin (rdna origin) regular||sodium fluorophosphate
simvastatin 40mg||simvastatin
simvastatin accord||simvastatin
simvastatin actavis||simvastatin
aliskiren fumarate||aliskiren
simvastatin film-coated tablet||simvastatin
simvastatin tablet||simvastatin
simvastatin tablets usp 20 mg||simvastatin
simvastatin(simvastatin)||simvastatin
all other non-therapeutic products||coal tar
simvastatina (1023a)||simvastatin
all other therapeutic product||coal tar
all other therapeutic products||coal tar
all other therapeutics||coal tar
sinemet l.p||levodopa
all-trans retinoic acid||tretinoin
allegra (fexofenadine hydrochloride)||fexofenadine
natriumchloride||sodium chloride
sinemet lp||levodopa
sinemet plus||levodopa
singulair (montelukast sodium)||montelukast
allegra d||fexofenadine
singulair (montelukast sodium) tablet||montelukast
allegra d?12 hour||fexofenadine
allegra?d||fexofenadine
natural tears||benzalkonium
allegra?d 24 hour||fexofenadine
naturalyte||benzalkonium
allergy medication||fexofenadine
allergy pill||fexofenadine
allergy shot||fexofenadine
humira (abbott)||isopropyl alcohol
allergy shots||fexofenadine
coumadin (warfarin sodium)||warfarin
humira pen||isopropyl alcohol
coumadin (warfarin sodium) (tablets)||warfarin
humira pre-filled syringe||isopropyl alcohol
nebivolol hcl - bp||nebivolol
coumadin (warfarin sodium) (unknown)||warfarin
nebivolol hydrochloride||nebivolol
sirolimus tab 0.5mg||sirolimus
coumadin (warfarin)||warfarin
sirolimus tab 1mg||sirolimus
nebulized albuterol||salbutamol
coumadin ^boots^||warfarin
coumadin tabs||warfarin
coumadin tabs 2 mg||warfarin
allopurinol (allopurinol)||allopurinol
allopurinol (allopurinol) (allopurinol)||allopurinol
coumadin tabs 5 mg||warfarin
nefazodone hcl||nefazodone
skelaxin [metaxalone]||metaxalone
allopurinol (allopurinol) (unknown)||allopurinol
skelaxine||metaxalone
allopurinol (allopurinol) tablet||allopurinol
coumadine||warfarin
nefopam hydrochloride||nefopam
allopurinol (unknown)||allopurinol
nefopam medisol||nefopam
allopurinol arrow||allopurinol
sleeping pill||diphenhydramine
nefopam mylan||nefopam
allopurinol tablets||allopurinol
allopurinol teva||allopurinol
slo-niacin||niacin
allopurinolo||allopurinol
nelfinavir mesilate||nelfinavir
nelfinavir mesylate||nelfinavir
humulin regular||sodium fluorophosphate
smz-tmp||tmp
smz-tmp ds||tmp
smz?tmp||tmp
alogliptin benzoate||alogliptin
alopurinol (318a)||allopurinol
neostelin green||allantoin
coversyl [perindopril erbumine]||perindopril
hyaluronate na||hyaluronic acid
sodium alginate||alginic acid
hyaluronate sodium||hyaluronic acid
alpha-methyldopa||methyldopa
sodium bicarbonate (sodium bicarbonate)||sodium bicarbonate
cozaar comp||losartan
sodium chlor||chlorine
sodium chloride (manufacturer unknown)||sodium chloride
alprazolam (aellc)||alprazolam
sodium chloride (sodium chloride)||sodium chloride
hydralazine (hydralazine)||hydralazine
alprazolam (alprazolam)||alprazolam
sodium chloride 0.45% solu. for  i.v. infu. in viaflex||sodium chloride
alprazolam (alprazolam) (alprazolam)||alprazolam
sodium chloride 0.9%||sodium chloride
alprazolam (unknown)||alprazolam
nesina tablets 25mg||alogliptin
sodium chloride 0.9% intravenous infusion bp||sodium chloride
alprazolam actavis||alprazolam
sodium chloride 0.9% solu. for  i.v. infu. in viaflex||sodium chloride
alprazolam mylan||alprazolam
sodium chloride 7%||sodium chloride
alprazolam tablets||alprazolam
sodium chloride injection||sodium chloride
alprazolam tablets 0.5 mg||alprazolam
hydrea caps 500 mg||hydroxyurea
sodium chloride injection usp 0264-7800-09||sodium chloride
alprazolam tablets usp||alprazolam
sodium chloride iv||sodium chloride
hydrocerin||ethanol
hydrochloorthiazide||ethanol
sodium clodronate||clodronic acid
altace (ramipril)||ramipril
hydrochlorathiazide||ethanol
sodium docusate||docusate
neurobion forte||pyridoxine
hydrochloride||ethanol
sodium ferric citrate||tetraferric tricitrate decahydrate
hydrochloroquine||ethanol
sodium fusidate||fusidic acid
hydrochlorot||ethanol
neurontin (gabapentin)||gabapentin
hydrochloroth||ethanol
sodium heparin||heparin
neurontin (united states)||gabapentin
cranberry plus vitamin c||ascorbic acid
sodium hyaluronate||hyaluronic acid
hydrochlorothiazid||ethanol
sodium hypochlorite||hypochlorite
alverine citrate||alverine
sodium perchlorate||perchlorate
sodium phosphate||sodium phosphate, monobasic, unspecified form
creatine monohydrate||creatine
sodium picosulfate||picosulfuric acid
amantadine (amantadine)||amantadine
sodium picosulfate hydrate||picosulfuric acid
amaryl (glimepiride)||glimepiride
sodium picosulphate||picosulfuric acid
amaryl m||glimepiride
nevirapine (nevirapine)||nevirapine
sodium rabeprazole||rabeprazole
ambien (zolpidem tartrate)||zolpidem
sodium risedronate hydrate||risedronic acid
sodium selenite||selenium
sodium valproate||valproic acid
ambien (zolpidem tartrate) (unknown)||zolpidem
sodium valproate (unknown)||valproic acid
ambien (zolpidem tartrate) (zolpidem tartrate)||zolpidem
sofosbuvir 400mg gilead||sofosbuvir
nexium (esomeprazole)||esomeprazole
nexium (esomeprazole) (esomeprazole)||esomeprazole
ambrisentan 10mg||ambrisentan
ambrisentan 10mg actavis pharma||ambrisentan
nexium (esomeprazole) (unknown)||esomeprazole
ambrisentan 5mg actavis pharma||ambrisentan
ambrisentan tablets||ambrisentan
ambroxol hcl||ambroxol
nexium 1-2-3||esomeprazole
ambroxol hydrochloride||ambroxol
hydrochlorthiazid||ethanol
nexium [esomeprazole sodium]||esomeprazole
hydrochlorthiazide||ethanol
hydrochlorzide||ethanol
hydrocholothiazide 25 mg tablet||ethanol
nexium capsule||esomeprazole
nexium hp||esomeprazole
nexium i.v||esomeprazole
nexium mups||esomeprazole
niacin (nicotinic acid)||niacin
niacin er||niacin
hydrochorothiazide||ethanol
niaspan (coated)||niacin
niaspan (coated) 1000mg||niacin
amikacine mylan||amikacin
hydroco||ethanol
niaspan (coated) 500mg||niacin
niaspan (nicotinic acid)||niacin
solian||desogestrel
hydroco apap||ethanol
amiloride hcl||amiloride
solifenacine||solifenacin
hydrocobamine||ethanol
cubicin (daptomycin)||daptomycin
hydrocodeine||ethanol
