(carboplatin)||carboplatin||carboplatin
gleevec (imatinib) unknown||gleevec||imatinib
abilify (aripiprazole)||abilify||aripiprazole
ciprofloxacin monohydrochloride||ciprofloxacin||ciprofloxacin
ribasphere (ribavirin)||ribavirin||ribavirin
ciprofloxacin tablets usp 500 mg||cipro||benzyl alcohol
abilify discmelt||abilify||aripiprazole
ribasphere (ribavirin)||ribasphere||ribavirin
ciprofloxacin tablets usp 500 mg||ciprofloxacin||ciprofloxacin
abilify tabs||abilify||aripiprazole
ciprofloxacin tablets usp 500 mg||ciprofloxacin tablets||ciprofloxacin
ciprofloxacine [ciprofloxacin]||cipro||benzyl alcohol
ciprofloxacine [ciprofloxacin]||ciprofloxacine||ciprofloxacin
ciprofloxacine [ciprofloxacin]||ciprofloxacin||ciprofloxacin
mobic (meloxicam)||meloxicam||meloxicam
ciprofloxacn||cipro||benzyl alcohol
abilify tabs 10 mg||abilify||aripiprazole
mobic (meloxicam)||melox||magnesium hydroxide
mobic (meloxicam)||mobic||meloxicam
ciprofloxin||cipro||benzyl alcohol
ribavirin (ribavirin)||ribavirin||ribavirin
abilify tabs 15 mg||abilify||aripiprazole
modafinil (modafinil)||modafinil||modafinil
ciprolex||cipro||benzyl alcohol
abilify tabs 2 mg||abilify||aripiprazole
modafinil tablets usp||modafinil tablets||modafinil
modafinil tablets usp||modafinil||modafinil
ciproxan||cipro||benzyl alcohol
ribavirin (ribavirin) capsule||ribavirin||ribavirin
abilify tabs 5 mg||abilify||aripiprazole
ciproxin||cipro||benzyl alcohol
abiraterone 250mg apotex||abiraterone||abiraterone
ribavirin (warrick)||ribavirin||ribavirin
ciproxin 500 mg||cipro||benzyl alcohol
abiraterone 250mg tab||abiraterone||abiraterone
ciproxin 500 mg film-coated tablets||cipro||benzyl alcohol
ribavirin 200 mg||ribavirin||ribavirin
ciproxine||cipro||benzyl alcohol
cis-platinum||platinum||platinum
ribavirin 200 mg tablets||ribavirin||ribavirin
cisatracurium besilate||cisatracurium||cisatracurium
gliclazide (gliclazide)||gliclazide||gliclazide
moduretic||moduret||amiloride
cisatracurium mylan||cisatracurium||cisatracurium
ribavirin 200mg||ribavirin||ribavirin
moduretic 5-50||moduret||amiloride
gliclazide mr||gliclazide||gliclazide
moduretic 5?50||moduret||amiloride
acamprosate calcium - bp||acamprosate||acamprosate
ribavirin cap 200mg||ribavirin||ribavirin
acamprosate calcium - bp||calcium||calcium
acamprosate calcium - bp||acamprosate calcium||acamprosate
cisplatin (119875)||cisplatin||cisplatin
ribavirin capsule||ribavirin||ribavirin
cisplatin (cisplatin)||cisplatin||cisplatin
ribavirin film coated tablets||ribavirin||ribavirin
cisplatin (cisplatin) (cisplatin)||cisplatin||cisplatin
cisplatin (cisplatin) (hq specialty)||cisplatin||cisplatin
ribavirin tab 200mg||ribavirin||ribavirin
cisplatin (manufacturer unknown)||cisplatin||cisplatin
riboflavin sodium phosphate||riboflavin||riboflavin
cisplatin (manufacturer unknown) (cisplatin) (cisplatin)||cisplatin||cisplatin
riboflavin sodium phosphate||phosphate||sodium phosphate, monobasic, unspecified form
cisplatin (unknown)||cisplatin||cisplatin
cisplatin accord||cisplatin||cisplatin
accord healthcare mycophenolate mofetil||mycophenolate||mycophenolic acid
accord healthcare mycophenolate mofetil||mycophenolate mofetil||mycophenolate mofetil
accord healthcare mycophenolate mofetil||health||cetylpyridinium
cisplatin for inj||cisplatin||cisplatin
mometasone furoate cream usp||mometason||mometasone
glimepiride (glimepiride)||glimepiride||glimepiride
mometasone furoate cream usp||mometasone furoate||mometasone furoate
mometasone furoate cream usp||mometasone||mometasone
cisplatin mylan||cisplatin||cisplatin
mometasone furoate nasal spray||mometason||mometasone
mometasone furoate nasal spray||nasal||phenylephrine
mometasone furoate nasal spray||mometasone furoate||mometasone furoate
mometasone furoate nasal spray||mometasone||mometasone
cisplatin teva||cisplatin||cisplatin
cisplatine||cisplatin||cisplatin
cisplatine accord||cisplatin||cisplatin
cisplatine mylan||cisplatin||cisplatin
cisplatine teva||cisplatin||cisplatin
acebutolol hcl||acebutolol||acebutolol
cisplatinum||cisplatin||cisplatin
rifadine||rifadin||rifampicin
citalopram (citalopram)||citalopram||citalopram
rifampicin (unknown)||rifampicin||rifampicin
citalopram (unknown)||citalopram||citalopram
rifampicin capsules||rifampicin||rifampicin
citalopram film-coated tablet||citalopram||citalopram
citalopram hbr||citalopram||citalopram
aceon (perindopril erbumine) tablet||aceon||perindopril
aceon (perindopril erbumine) tablet||perindopril||perindopril
aceon (perindopril erbumine) tablet||perindopril erbumine||perindopril
monoammonium glycyrrhizinate||glycyrrhizin||glycyrrhizic acid
citalopram hcl||citalopram||citalopram
citalopram hydrobromide (unknown)||citalopram hydrobromide||citalopram
citalopram hydrobromide (unknown)||hydro||ethanol
citalopram hydrobromide (unknown)||citalopram||citalopram
rifampin (manufacturer unknown)||rifampin||rifampicin
glipizide (glipizide)||glipizide||glipizide
citalopram hydrobromide (watson laboratories)||citalopram hydrobromide||citalopram
citalopram hydrobromide (watson laboratories)||hydro||ethanol
citalopram hydrobromide (watson laboratories)||citalopram||citalopram
citalopram hydrobromide - bp||citalopram hydrobromide||citalopram
citalopram hydrobromide - bp||hydro||ethanol
citalopram hydrobromide - bp||citalopram||citalopram
acetaminophen (acetaminophen)||acetaminophen||acetaminophen
citalopram hydrobromide ? bp||citalopram hydrobromide||citalopram
citalopram hydrobromide ? bp||hydro||ethanol
citalopram hydrobromide ? bp||citalopram||citalopram
acetaminophen (paracetamol)||acetaminophen||acetaminophen
citalopram hydrobromide unk||citalopram hydrobromide||citalopram
acetaminophen (paracetamol)||paracetamol||acetaminophen
citalopram hydrobromide unk||hydro||ethanol
citalopram hydrobromide unk||citalopram||citalopram
acetaminophen (unknown)||acetaminophen||acetaminophen
citalopram hydrochloride||hydro||ethanol
citalopram hydrochloride||citalopram||citalopram
acetaminophen 650mg er 544||acetaminophen||acetaminophen
citalopram mylan||citalopram||citalopram
acetaminophen codeine||acetaminophen||acetaminophen
acetaminophen codeine||codeine||codeine
acetaminophen codeine||codein||codeine
acetaminophen-aspirin-caffeine||aspirin||acetylsalicylic acid
rilmazafone hydrochloride||hydro||ethanol
acetaminophen-aspirin-caffeine||acetaminophen||acetaminophen
citicoline sodium||citicoline||citicoline
acetaminophen-aspirin-caffeine||caffeine||caffeine
acetaminophen-aspirin-caffeine 1t1||aspirin||acetylsalicylic acid
acetaminophen-aspirin-caffeine 1t1||acetaminophen||acetaminophen
acetaminophen-aspirin-caffeine 1t1||caffeine||caffeine
rilpivirine hydrochloride||hydro||ethanol
acetaminophen-aspirin-caffeine 6x0||aspirin||acetylsalicylic acid
acetaminophen-aspirin-caffeine 6x0||acetaminophen||acetaminophen
rilpivirine hydrochloride||rilpivirine||rilpivirine
glucagon emergency kit||glucagon||water
acetaminophen-aspirin-caffeine 6x0||caffeine||caffeine
acetaminophen-codeine||acetaminophen||acetaminophen
acetaminophen-codeine||codeine||codeine
acetaminophen-codeine||codein||codeine
acetaminophen-hydrocodone||acetaminophen||acetaminophen
citracal [calcium citrate]||calcium citrate||calcium
citracal [calcium citrate]||calcium||calcium
acetaminophen-hydrocodone||hydrocodon||hydrocodone
acetaminophen-hydrocodone||hydro||ethanol
montelukast chewable tablets||chewable||bismuth subsalicylate
acetaminophen-hydrocodone||hydrocodone||hydrocodone
montelukast chewable tablets||montelukast||montelukast
acetaminophen;caffeine||acetaminophen||acetaminophen
acetaminophen;caffeine||caffeine||caffeine
montelukast sod||montelukast||montelukast
citracal maximum||maxim||chloroxylenol
acetaminophen;codeine||acetaminophen||acetaminophen
acetaminophen;codeine||codeine||codeine
acetaminophen;codeine||codein||codeine
acetaminophen;codeine phosphate||phosphate||sodium phosphate, monobasic, unspecified form
acetaminophen;codeine phosphate||acetaminophen||acetaminophen
acetaminophen;codeine phosphate||codeine||codeine
acetaminophen;codeine phosphate||codein||codeine
acetaminophen;diphenhydramine hydrochloride||diphen||diphenhydramine
acetaminophen;diphenhydramine hydrochloride||acetaminophen||acetaminophen
acetaminophen;diphenhydramine hydrochloride||diphenhydramine hydrochloride||diphenhydramine
acetaminophen;diphenhydramine hydrochloride||hydro||ethanol
acetaminophen;diphenhydramine hydrochloride||diphenhydramine||diphenhydramine
mopral (omeprazole)||omeprazol||omeprazole
acetaminophen;hydrocodone||acetaminophen||acetaminophen
mopral (omeprazole)||omeprazole||omeprazole
acetaminophen;hydrocodone||hydrocodon||hydrocodone
acetaminophen;hydrocodone||hydro||ethanol
acetaminophen;hydrocodone||hydrocodone||hydrocodone
acetaminophen;oxycodone hydrochloride||oxycodone||oxycodone
mopral [omeprazole]||omeprazol||omeprazole
acetaminophen;oxycodone hydrochloride||acetaminophen||acetaminophen
mopral [omeprazole]||omeprazole||omeprazole
rinderon (betamethasone sodium phosphate)||phosphate||sodium phosphate, monobasic, unspecified form
acetaminophen;oxycodone hydrochloride||oxycodone hydrochloride||oxycodone
acetaminophen;oxycodone hydrochloride||hydro||ethanol
acetaminophen\caffeine\salicylate||acetaminophen||acetaminophen
acetaminophen\caffeine\salicylate||caffeine||caffeine
rinderon (betamethasone sodium phosphate)||betamethasone||betamethasone
acetaminophen\hydrocodone||acetaminophen||acetaminophen
acetaminophen\hydrocodone||hydrocodon||hydrocodone
acetaminophen\hydrocodone||hydro||ethanol
acetaminophen\hydrocodone||hydrocodone||hydrocodone
acetaminophen\hydrocodone bitartrate||acetaminophen||acetaminophen
acetaminophen\hydrocodone bitartrate||hydrocodon||hydrocodone
rinderon (betamethasone)||betamethasone||betamethasone
acetaminophen\hydrocodone bitartrate||hydrocodone bitartrate||hydrocodone
morphine (manufacturer unknown)||morphine||morphine
acetaminophen\hydrocodone bitartrate||hydro||ethanol
morphine (manufacturer unknown)||morphin||morphine
glucophage (metformin hydrochloride)||metformin hydrochloride||metformin
acetaminophen\hydrocodone bitartrate||hydrocodone||hydrocodone
morphine (morphine)||morphine||morphine
glucophage (metformin hydrochloride)||metformin||metformin
acetaminophen\propoxyphene hydrochloride||propoxyphene hydrochloride||dextropropoxyphene
rinderon [betamethasone]||betamethasone||betamethasone
morphine (morphine)||morphin||morphine
glucophage (metformin hydrochloride)||hydro||ethanol
clamoxyl (amoxicillin)||amoxicillin||clavulanic acid
acetaminophen\propoxyphene hydrochloride||acetaminophen||acetaminophen
morphine (morphine) (unknown) (morphine)||morphine||morphine
glucophage (metformin hydrochloride)||glucophage||metformin
acetaminophen\propoxyphene hydrochloride||propoxyphene||dextropropoxyphene
morphine (morphine) (unknown) (morphine)||morphin||morphine
acetaminophen\propoxyphene hydrochloride||hydro||ethanol
morphine (unknown)||morphine||morphine
acetaminophen\tramadol hydrochloride||acetaminophen||acetaminophen
morphine (unknown)||morphin||morphine
glucosamin||glucosa||dextrose, unspecified form
acetaminophen\tramadol hydrochloride||tramadol hydrochloride||tramadol
morphine er||morphine||morphine
acetaminophen\tramadol hydrochloride||hydro||ethanol
morphine er||morphin||morphine
clarinex-d||clarinex||desloratadine
acetaminophen\tramadol hydrochloride||tramadol||tramadol
morphine hcl||morphine||morphine
glucosamin chondroitin||glucosa||dextrose, unspecified form
acetyl l carnitine||carnitine||levocarnitine
morphine hcl||morphin||morphine
acetyl l-carnitine||l-carnitine||levocarnitine
morphine hydrochloride||morphine||morphine
acetyl l-carnitine||carnitine||levocarnitine
morphine hydrochloride||hydro||ethanol
clarithromycin (clarithromycin)||clarithromycin||clarithromycin
acetyl salicylic acid||salicylic acid||benzethonium
morphine hydrochloride||morphin||morphine
glucosamine (glucosamine)||glucosa||dextrose, unspecified form
morphine hydrochloride hydrate||morphine||morphine
clarithromycin (unknown)||clarithromycin||clarithromycin
glucosamine (glucosamine)||glucosamine||glucosamine
morphine hydrochloride hydrate||hydro||ethanol
morphine hydrochloride hydrate||morphin||morphine
morphine hydrochloride trihydrate||morphine||morphine
morphine hydrochloride trihydrate||hydro||ethanol
morphine hydrochloride trihydrate||morphin||morphine
morphine intrathecal||morphine||morphine
clarithromycin 500mg||clarithromycin||clarithromycin
glucosamine chondroitin||glucosa||dextrose, unspecified form
morphine intrathecal||morphin||morphine
glucosamine chondroitin||glucosamine||glucosamine
acetylsalicylate lysine||lysine||l-lysine
ringers lactate||ringers||sodium chloride
morphine ir||morphine||morphine
acetylsalicylate lysine||acetylsalicylate||acetylsalicylic acid
clarithromycin film-coated tablet||clarithromycin||clarithromycin
glucosamine chondroitin [chondroitin sulfate;glucosamine]||sulfate||sulfate ion
morphine ir||morphin||morphine
acetylsalicylic acid (> 100 mg)||acetylsalicylic acid||acetylsalicylic acid
ringers solution||solution||minoxidil
glucosamine chondroitin [chondroitin sulfate;glucosamine]||chondroitin sulfate||chondroitin sulfate
clarithromycin mylan||clarithromycin||clarithromycin
morphine salt not specified||morphine||morphine
acetylsalicylic acid (acetylsalicylic acid)||acetylsalicylic acid||acetylsalicylic acid
ringers solution||ringers||sodium chloride
glucosamine chondroitin [chondroitin sulfate;glucosamine]||glucosa||dextrose, unspecified form
morphine salt not specified||morphin||morphine
claritin (loratadine)||loratadine||loratadine
acetylsalicylic acid (cardio)||acetylsalicylic acid||acetylsalicylic acid
glucosamine chondroitin [chondroitin sulfate;glucosamine]||glucosamine||glucosamine
morphine sul||morphine||morphine
riociguat (guanylate cyclase stimulator)||riociguat||riociguat
claritin (loratadine)||claritin||loratadine
acetylsalicylic acid (unknown)||acetylsalicylic acid||acetylsalicylic acid
glucosamine chondroitin complex||glucosa||dextrose, unspecified form
morphine sul||morphin||morphine
claritin (united states)||claritin||loratadine
acetylsalicylic acid (} 100 mg)||acetylsalicylic acid||acetylsalicylic acid
glucosamine chondroitin complex||glucosamine||glucosamine
morphine sulf||morphine||morphine
claritin [clarithromycin]||clarithromycin||clarithromycin
glucosamine chondroitin msm||glucosa||dextrose, unspecified form
acetylsalicylic acid enteric coated||acetylsalicylic acid||acetylsalicylic acid
morphine sulf||morphin||morphine
claritin [clarithromycin]||claritin||loratadine
glucosamine chondroitin msm||glucosamine||glucosamine
morphine sulfate (aellc)||sulfate||sulfate ion
claritin [gliclazide]||gliclazide||gliclazide
claritin [gliclazide]||claritin||loratadine
glucosamine chondroitin sulfate||sulfate||sulfate ion
morphine sulfate (aellc)||morphine||morphine
claritin allergic||claritin||loratadine
acetylsalicylic acid(<=100 mg)||acetylsalicylic acid||acetylsalicylic acid
glucosamine chondroitin sulfate||chondroitin sulfate||chondroitin sulfate
morphine sulfate (aellc)||morphine sulfate||morphine
claritin chewable tablets||chewable||bismuth subsalicylate
claritin chewable tablets||claritin||loratadine
glucosamine chondroitin sulfate||glucosa||dextrose, unspecified form
morphine sulfate (aellc)||morphin||morphine
acetylsalicylic acid({=100 mg)||acetylsalicylic acid||acetylsalicylic acid
glucosamine chondroitin sulfate||glucosamine||glucosamine
claritin d||claritin||loratadine
morphine sulfate (morphine sulfate)||sulfate||sulfate ion
glucosamine complex||glucosa||dextrose, unspecified form
glucosamine complex||glucosamine||glucosamine
morphine sulfate (morphine sulfate)||morphine||morphine
claritin liqui?gels||claritin||loratadine
acetylsalicylic acid(}100 mg)||acetylsalicylic acid||acetylsalicylic acid
morphine sulfate (morphine sulfate)||morphine sulfate||morphine
glucosamine hcl||glucosa||dextrose, unspecified form
morphine sulfate (morphine sulfate)||morphin||morphine
glucosamine hcl||glucosamine||glucosamine
claritin liquigels||claritin||loratadine
morphine sulfate (morphine sulfate) injection||sulfate||sulfate ion
morphine sulfate (morphine sulfate) injection||morphine||morphine
morphine sulfate (morphine sulfate) injection||morphine sulfate||morphine
claritin oral solution||claritin||loratadine
risedronate sodium - bp||risedronate sodium||risedronic acid
morphine sulfate (morphine sulfate) injection||morphin||morphine
claritin oral solution||solution||minoxidil
risedronate sodium - bp||risedronate||risedronic acid
glucosamine hydrochloride||glucosa||dextrose, unspecified form
glucosamine hydrochloride||glucosamine||glucosamine
claritin reditabs 12hr||claritin reditabs||loratadine
morphine sulfate (morphine sulfate) unknown||sulfate||sulfate ion
morphine sulfate (morphine sulfate) unknown||morphine||morphine
claritin reditabs 12hr||claritin||loratadine
glucosamine hydrochloride||hydro||ethanol
morphine sulfate (morphine sulfate) unknown||morphine sulfate||morphine
risedronate sodium ? bp||risedronate sodium||risedronic acid
risedronate sodium ? bp||risedronate||risedronic acid
glucosamine msm||glucosa||dextrose, unspecified form
morphine sulfate (morphine sulfate) unknown||morphin||morphine
glucosamine msm||glucosamine||glucosamine
morphine sulfate (similar to nda 19-516)||sulfate||sulfate ion
claritin-d||claritin||loratadine
glucosamine sulfate||sulfate||sulfate ion
glucosamine sulfate||glucosa||dextrose, unspecified form
risedronate sodium unk||risedronate sodium||risedronic acid
morphine sulfate (similar to nda 19-516)||morphine||morphine
risedronate sodium unk||risedronate||risedronic acid
glucosamine sulfate||glucosamine||glucosamine
morphine sulfate (similar to nda 19-516)||morphine sulfate||morphine
claritin-d nos||claritin||loratadine
morphine sulfate (similar to nda 19-516)||morphin||morphine
glucosamine sulphate||glucosa||dextrose, unspecified form
morphine sulfate (similar to nda 19?516)||sulfate||sulfate ion
glucosamine sulphate||glucosamine||glucosamine
morphine sulfate (similar to nda 19?516)||morphine||morphine
morphine sulfate (similar to nda 19?516)||morphine sulfate||morphine
morphine sulfate (similar to nda 19?516)||morphin||morphine
claritin-d-12||claritin||loratadine
morphine sulfate (unknown)||sulfate||sulfate ion
morphine sulfate (unknown)||morphine||morphine
morphine sulfate (unknown)||morphine sulfate||morphine
morphine sulfate (unknown)||morphin||morphine
morphine sulfate cr||sulfate||sulfate ion
morphine sulfate cr||morphine||morphine
morphine sulfate cr||morphine sulfate||morphine
morphine sulfate cr||morphin||morphine
morphine sulfate extended-release tablets||sulfate||sulfate ion
morphine sulfate extended-release tablets||morphine||morphine
morphine sulfate extended-release tablets||morphine sulfate||morphine
morphine sulfate extended-release tablets||morphin||morphine
morphine sulfate extended-release tablets||release||manganese
risperdal (risperidone)||risperdal||risperidone
risperdal (risperidone)||risperidone||risperidone
claritin-d-24||claritin||loratadine
morphine sulfate extended-release tablets||morphine sulfate extended-release||morphine
glucosamine-chondroitin||glucosa||dextrose, unspecified form
morphine sulfate extended-release tablets (rhodes 74-769)||sulfate||sulfate ion
glucosamine-chondroitin||glucosamine||glucosamine
glucose 5%||glucose||dextrose, unspecified form
claritin?d 24 hour||claritin||loratadine
morphine sulfate extended-release tablets (rhodes 74-769)||morphine||morphine
glucose injection||glucose||dextrose, unspecified form
morphine sulfate extended-release tablets (rhodes 74-769)||morphine sulfate||morphine
morphine sulfate extended-release tablets (rhodes 74-769)||morphin||morphine
morphine sulfate extended-release tablets (rhodes 74-769)||release||manganese
claritin?d nos||claritin||loratadine
morphine sulfate extended-release tablets (rhodes 74-769)||morphine sulfate extended-release||morphine
glucotrol (glipizide)||glucotrol||glipizide
morphine sulfate ir||sulfate||sulfate ion
glucotrol (glipizide)||glipizide||glipizide
morphine sulfate ir||morphine||morphine
claritine||claritin||loratadine
morphine sulfate ir||morphine sulfate||morphine
morphine sulfate ir||morphin||morphine
risperidone (risperidone)||risperidone||risperidone
morphine sulfate unk||sulfate||sulfate ion
morphine sulfate unk||morphine||morphine
morphine sulfate unk||morphine sulfate||morphine
risperidone (unknown)||risperidone||risperidone
morphine sulfate unk||morphin||morphine
risperidone film-coated tablets||risperidone||risperidone
morphine sulphate||morphine||morphine
aciclovir (aciclovir)||aciclovir||acyclovir
glutathione reduced||glutathione||glutathione
morphine sulphate||morphin||morphine
